Event.Date,Make,Model,Aircraft.Type,Total.Passengers,Total.Fatal.Injuries,Total.Serious.Injuries,Total.Minor.Injuries,Total.Uninjured,Fatal.Serious.Injury.Fraction,Aircraft.Destroyed_Clean,Number.of.Engines,Engine.Type,Weather.Condition,Purpose.of.flight,Broad.phase.of.flight
2012-06-11,CESSNA,182A,CESSNA 182A,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,Reciprocating,VMC,Personal,Unknown
2012-06-11,NORTH AMERICAN,AT-6C,NORTH AMERICAN AT-6C,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,Reciprocating,VMC,Positioning,Unknown
2012-06-12,PIPER,PA-38-112,PIPER PA-38-112,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,Reciprocating,VMC,Positioning,Unknown
2012-06-12,MOONEY,M20F,MOONEY M20F,2.0,0.0,0.0,2.0,0.0,0.0,0.0,1.0,Reciprocating,VMC,Personal,Unknown
2012-06-12,CESSNA,150M,CESSNA 150M,2.0,0.0,2.0,0.0,0.0,0.6666666666666666,0.0,1.0,Reciprocating,VMC,Instructional,Unknown
2012-06-13,BOEING,737-724,BOEING 737-724,81.0,0.0,0.0,2.0,79.0,0.0,0.0,2.0,Turbo Fan,IMC,Unknown,Unknown
2012-06-13,CESSNA,A185F,CESSNA A185F,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,Reciprocating,VMC,Personal,Unknown
2012-06-13,PIPER,PA-28-180,PIPER PA-28-180,1.0,0.0,1.0,0.0,0.0,0.5,0.0,1.0,Reciprocating,VMC,Ferry,Unknown
2012-06-14,DEHAVILLAND,DHC-2,DEHAVILLAND DHC-2,7.0,0.0,0.0,0.0,7.0,0.0,0.0,1.0,Reciprocating,VMC,Unknown,Unknown
2012-06-14,CESSNA,TP206A,CESSNA TP206A,3.0,0.0,0.0,0.0,3.0,0.0,0.0,1.0,Reciprocating,VMC,Aerial Observation,Unknown
2012-06-14,CESSNA,150M,CESSNA 150M,2.0,0.0,0.0,0.0,2.0,0.0,0.0,1.0,Reciprocating,VMC,Instructional,Unknown
2012-06-15,CESSNA,560,CESSNA 560,5.0,0.0,0.0,0.0,5.0,0.0,0.0,2.0,Turbo Fan,VMC,Executive/corporate,Unknown
2012-06-15,CESSNA,170,CESSNA 170,2.0,0.0,2.0,0.0,0.0,0.6666666666666666,0.0,1.0,Reciprocating,VMC,Personal,Unknown
2012-06-15,AIR TRACTOR INC,AT-502,AIR TRACTOR INC AT-502,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,Turbo Prop,VMC,Aerial Application,Unknown
2012-06-15,CESSNA,172K,CESSNA 172K,2.0,0.0,0.0,0.0,2.0,0.0,0.0,1.0,Reciprocating,VMC,Personal,Unknown
2012-06-15,PIPER,PA-28-181,PIPER PA-28-181,4.0,0.0,0.0,0.0,4.0,0.0,0.0,1.0,Reciprocating,VMC,Personal,Unknown
2012-06-15,CESSNA,172M,CESSNA 172M,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,Reciprocating,VMC,Personal,Unknown
2012-06-16,CESSNA,182H,CESSNA 182H,2.0,0.0,0.0,0.0,2.0,0.0,0.0,1.0,Reciprocating,VMC,Personal,Unknown
2012-06-16,PIPER,PA-18,PIPER PA-18,2.0,0.0,0.0,0.0,2.0,0.0,0.0,1.0,Reciprocating,VMC,Personal,Unknown
2012-06-16,CESSNA,172,CESSNA 172,2.0,0.0,0.0,0.0,2.0,0.0,0.0,1.0,Reciprocating,VMC,Personal,Unknown
2012-06-16,CESSNA,152,CESSNA 152,2.0,0.0,0.0,0.0,2.0,0.0,0.0,1.0,Reciprocating,VMC,Instructional,Unknown
2012-06-17,CESSNA,182P,CESSNA 182P,3.0,0.0,1.0,0.0,2.0,0.25,0.0,1.0,Reciprocating,VMC,Personal,Unknown
2012-06-17,PIPER,PA-18-150,PIPER PA-18-150,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,Reciprocating,VMC,Personal,Unknown
2012-06-17,AIRBUS,A320,AIRBUS A320,154.0,0.0,0.0,0.0,154.0,0.0,0.0,2.0,Turbo Fan,VMC,Unknown,Unknown
2012-06-17,CIRRUS DESIGN CORP,SR20,CIRRUS DESIGN CORP SR20,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,Reciprocating,VMC,Personal,Unknown
2012-06-17,CESSNA,172S,CESSNA 172S,2.0,0.0,0.0,0.0,2.0,0.0,0.0,1.0,Reciprocating,VMC,Personal,Unknown
2012-06-18,BEECH,400A,BEECH 400A,4.0,0.0,2.0,2.0,0.0,0.4,0.0,2.0,Turbo Jet,VMC,Executive/corporate,Unknown
2012-06-18,PIPER,PA-28R-200,PIPER PA-28R-200,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,Reciprocating,VMC,Personal,Unknown
2012-06-18,PIPER,J3C-65,PIPER J3C-65,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,Reciprocating,VMC,Personal,Unknown
2012-06-18,BOEING,A75N1(PT17),BOEING A75N1(PT17),1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,Reciprocating,VMC,Personal,Unknown
2012-06-19,CESSNA,170B,CESSNA 170B,2.0,0.0,0.0,0.0,2.0,0.0,0.0,1.0,Reciprocating,VMC,Instructional,Unknown
2012-06-19,CESSNA,195B,CESSNA 195B,3.0,0.0,1.0,0.0,2.0,0.25,0.0,1.0,Reciprocating,VMC,Personal,Unknown
2012-06-19,PIPER,PA-28-161,PIPER PA-28-161,2.0,0.0,0.0,0.0,2.0,0.0,0.0,1.0,Reciprocating,VMC,Instructional,Unknown
2012-06-20,GRUMMAN ACFT ENG COR-SCHWEIZER,G-164B,GRUMMAN ACFT ENG COR-SCHWEIZER G-164B,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,Reciprocating,VMC,Aerial Application,Unknown
2012-06-20,CESSNA,180A,CESSNA 180A,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,Reciprocating,VMC,Personal,Unknown
2012-06-20,AIRBUS,A320,AIRBUS A320,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,Turbo Fan,,Unknown,Unknown
2012-06-21,Cessna,R182,Cessna R182,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,Reciprocating,VMC,Personal,Unknown
2012-06-21,CESSNA,170B,CESSNA 170B,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,Reciprocating,VMC,Personal,Unknown
2012-06-21,CESSNA,150F,CESSNA 150F,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,Reciprocating,VMC,Instructional,Unknown
2012-06-21,Cessna,140A,Cessna 140A,2.0,0.0,1.0,0.0,1.0,0.3333333333333333,0.0,1.0,Reciprocating,VMC,Personal,Unknown
2012-06-21,PIPER,J3F-65,PIPER J3F-65,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,Reciprocating,VMC,Personal,Unknown
2012-06-22,RAYTHEON AIRCRAFT COMPANY,C90GT,RAYTHEON AIRCRAFT COMPANY C90GT,1.0,1.0,0.0,0.0,0.0,0.5,0.0,2.0,Turbo Prop,VMC,Positioning,Unknown
2012-06-22,PIPER,J5A,PIPER J5A,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,Reciprocating,VMC,Aerial Observation,Unknown
2012-06-22,CESSNA,TR182,CESSNA TR182,3.0,0.0,0.0,0.0,3.0,0.0,0.0,1.0,Reciprocating,VMC,Personal,Unknown
2012-06-22,BEECH,A36,BEECH A36,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,Reciprocating,VMC,Personal,Unknown
2012-06-22,Piper,PA-46-310P,Piper PA-46-310P,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,Reciprocating,VMC,Business,Unknown
2012-06-23,CESSNA,172,CESSNA 172,4.0,4.0,0.0,0.0,0.0,0.8,0.0,1.0,Reciprocating,VMC,Personal,Unknown
2012-06-23,LUSCOMBE,8A,LUSCOMBE 8A,2.0,0.0,0.0,0.0,2.0,0.0,0.0,1.0,Reciprocating,VMC,Personal,Unknown
2012-06-23,CHAMPION,7GCB,CHAMPION 7GCB,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,Reciprocating,VMC,Personal,Unknown
2012-06-23,CESSNA,A150K,CESSNA A150K,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,Reciprocating,VMC,Personal,Unknown
2012-06-23,CESSNA,177,CESSNA 177,3.0,0.0,0.0,0.0,3.0,0.0,0.0,1.0,Reciprocating,VMC,Personal,Unknown
2012-06-24,MOONEY,M10,MOONEY M10,1.0,0.0,1.0,0.0,0.0,0.5,0.0,1.0,Reciprocating,VMC,Personal,Unknown
